Datetime,Open,High,Low,Close,Volume,Symbol
2026-02-01 09:15:00+05:30,72.0,72.0,59.85,68.1,436,NIFTY10FEB2625950CE
2026-02-01 09:18:00+05:30,67.8,68.5,64.75,68.15,232,NIFTY10FEB2625950CE
2026-02-01 09:21:00+05:30,67.95,68.25,66.2,68.0,32,NIFTY10FEB2625950CE
2026-02-01 09:24:00+05:30,67.8,68.7,66.45,67.45,142,NIFTY10FEB2625950CE
2026-02-01 09:27:00+05:30,67.35,72.9,67.1,71.8,267,NIFTY10FEB2625950CE
2026-02-01 09:30:00+05:30,72.4,72.6,68.25,68.45,93,NIFTY10FEB2625950CE
2026-02-01 09:33:00+05:30,69.6,70.35,67.85,68.0,155,NIFTY10FEB2625950CE
2026-02-01 09:36:00+05:30,68.7,70.2,68.7,69.6,23,NIFTY10FEB2625950CE
2026-02-01 09:39:00+05:30,69.0,69.0,67.35,68.85,45,NIFTY10FEB2625950CE
2026-02-01 09:42:00+05:30,69.0,71.0,68.05,70.45,57,NIFTY10FEB2625950CE
2026-02-01 09:45:00+05:30,70.6,73.7,70.6,71.35,100,NIFTY10FEB2625950CE
2026-02-01 09:48:00+05:30,71.25,72.35,62.7,66.75,97,NIFTY10FEB2625950CE
2026-02-01 09:51:00+05:30,66.8,71.05,66.6,70.95,75,NIFTY10FEB2625950CE
2026-02-01 09:54:00+05:30,71.4,71.45,68.85,70.5,40,NIFTY10FEB2625950CE
2026-02-01 09:57:00+05:30,71.15,71.15,69.85,69.95,20,NIFTY10FEB2625950CE
2026-02-01 10:00:00+05:30,70.25,71.3,70.25,70.4,27,NIFTY10FEB2625950CE
2026-02-01 10:03:00+05:30,70.15,71.05,70.15,71.0,12,NIFTY10FEB2625950CE
2026-02-01 10:06:00+05:30,71.4,71.5,70.25,70.25,15,NIFTY10FEB2625950CE
2026-02-01 10:09:00+05:30,70.6,72.0,70.6,71.5,14,NIFTY10FEB2625950CE
2026-02-01 10:12:00+05:30,72.0,74.65,71.7,73.9,75,NIFTY10FEB2625950CE
2026-02-01 10:15:00+05:30,74.6,77.0,74.6,75.35,91,NIFTY10FEB2625950CE
2026-02-01 10:18:00+05:30,75.0,76.3,71.75,76.2,62,NIFTY10FEB2625950CE
2026-02-01 10:21:00+05:30,77.3,79.45,77.0,78.8,47,NIFTY10FEB2625950CE
2026-02-01 10:24:00+05:30,77.95,80.4,77.35,78.2,158,NIFTY10FEB2625950CE
2026-02-01 10:27:00+05:30,78.95,80.55,78.85,79.1,79,NIFTY10FEB2625950CE
2026-02-01 10:30:00+05:30,78.5,78.5,75.1,77.4,98,NIFTY10FEB2625950CE
2026-02-01 10:33:00+05:30,78.1,83.7,78.1,82.35,78,NIFTY10FEB2625950CE
2026-02-01 10:36:00+05:30,81.5,83.15,81.25,81.7,87,NIFTY10FEB2625950CE
2026-02-01 10:39:00+05:30,81.6,82.1,79.65,81.25,49,NIFTY10FEB2625950CE
2026-02-01 10:42:00+05:30,80.35,80.35,77.0,78.0,189,NIFTY10FEB2625950CE
2026-02-01 10:45:00+05:30,79.2,79.85,76.2,77.7,124,NIFTY10FEB2625950CE
2026-02-01 10:48:00+05:30,77.5,78.85,77.4,77.4,26,NIFTY10FEB2625950CE
2026-02-01 10:51:00+05:30,78.15,80.0,75.6,78.4,72,NIFTY10FEB2625950CE
2026-02-01 10:54:00+05:30,80.0,80.65,78.0,78.55,100,NIFTY10FEB2625950CE
2026-02-01 10:57:00+05:30,78.9,80.95,78.65,80.7,104,NIFTY10FEB2625950CE
2026-02-01 11:00:00+05:30,81.2,81.5,72.55,74.0,173,NIFTY10FEB2625950CE
2026-02-01 11:03:00+05:30,73.2,80.65,73.2,79.65,129,NIFTY10FEB2625950CE
2026-02-01 11:06:00+05:30,79.1,87.9,76.9,83.45,193,NIFTY10FEB2625950CE
2026-02-01 11:09:00+05:30,83.4,93.7,83.35,90.3,352,NIFTY10FEB2625950CE
2026-02-01 11:12:00+05:30,89.6,89.6,81.7,85.8,232,NIFTY10FEB2625950CE
2026-02-01 11:15:00+05:30,85.55,86.8,81.85,84.85,71,NIFTY10FEB2625950CE
2026-02-01 11:18:00+05:30,84.3,84.8,76.45,78.0,195,NIFTY10FEB2625950CE
2026-02-01 11:21:00+05:30,79.05,83.15,78.5,80.0,104,NIFTY10FEB2625950CE
2026-02-01 11:24:00+05:30,79.85,84.45,76.0,82.7,197,NIFTY10FEB2625950CE
2026-02-01 11:27:00+05:30,83.25,85.0,78.0,80.35,120,NIFTY10FEB2625950CE
2026-02-01 11:30:00+05:30,80.95,82.8,76.0,76.5,149,NIFTY10FEB2625950CE
2026-02-01 11:33:00+05:30,78.7,79.65,76.6,77.85,67,NIFTY10FEB2625950CE
2026-02-01 11:36:00+05:30,78.1,78.4,75.85,76.15,45,NIFTY10FEB2625950CE
2026-02-01 11:39:00+05:30,75.75,75.75,66.15,68.0,335,NIFTY10FEB2625950CE
2026-02-01 11:42:00+05:30,67.3,69.4,60.85,66.25,231,NIFTY10FEB2625950CE
2026-02-01 11:45:00+05:30,65.75,67.15,62.45,67.15,224,NIFTY10FEB2625950CE
